"Date","Clicks","Impressions","Avg. CTR"
"5/7/2026 12:00:00 AM","0","0","0"
"5/8/2026 12:00:00 AM","0","0","0"
"5/9/2026 12:00:00 AM","0","0","0"
"5/10/2026 12:00:00 AM","0","0","0"
"5/11/2026 12:00:00 AM","0","0","0"
"5/12/2026 12:00:00 AM","0","0","0"
"5/13/2026 12:00:00 AM","0","0","0"
"5/14/2026 12:00:00 AM","0","0","0"
"5/15/2026 12:00:00 AM","1","2","50"
"5/16/2026 12:00:00 AM","0","1","0"
"5/17/2026 12:00:00 AM","0","0","0"
"5/18/2026 12:00:00 AM","0","0","0"
"5/19/2026 12:00:00 AM","0","0","0"
"5/20/2026 12:00:00 AM","0","0","0"
"5/21/2026 12:00:00 AM","0","0","0"
"5/22/2026 12:00:00 AM","0","0","0"
"5/23/2026 12:00:00 AM","0","3","0"
"5/24/2026 12:00:00 AM","0","1","0"
"5/25/2026 12:00:00 AM","1","3","33.33"
"5/26/2026 12:00:00 AM","0","3","0"
"5/27/2026 12:00:00 AM","0","3","0"
"5/28/2026 12:00:00 AM","0","2","0"
"5/29/2026 12:00:00 AM","0","2","0"
"5/30/2026 12:00:00 AM","0","5","0"
"5/31/2026 12:00:00 AM","0","2","0"
"6/1/2026 12:00:00 AM","0","5","0"
"6/2/2026 12:00:00 AM","0","0","0"
"6/3/2026 12:00:00 AM","0","4","0"
"6/4/2026 12:00:00 AM","0","3","0"
"6/5/2026 12:00:00 AM","2","2","100"
"6/6/2026 12:00:00 AM","1","3","33.33"
"6/7/2026 12:00:00 AM","1","4","25"
"6/8/2026 12:00:00 AM","0","0","0"
"6/9/2026 12:00:00 AM","0","6","0"
"6/10/2026 12:00:00 AM","0","3","0"
"6/11/2026 12:00:00 AM","0","3","0"
"6/12/2026 12:00:00 AM","0","5","0"
"6/13/2026 12:00:00 AM","0","1","0"
"6/14/2026 12:00:00 AM","0","2","0"
"6/15/2026 12:00:00 AM","0","9","0"
"6/16/2026 12:00:00 AM","0","2","0"
"6/17/2026 12:00:00 AM","0","7","0"
"6/18/2026 12:00:00 AM","0","7","0"
"6/19/2026 12:00:00 AM","0","9","0"
"6/20/2026 12:00:00 AM","0","7","0"
"6/21/2026 12:00:00 AM","1","5","20"
"6/22/2026 12:00:00 AM","1","5","20"
"6/23/2026 12:00:00 AM","0","6","0"
"6/24/2026 12:00:00 AM","3","19","15.79"
"6/25/2026 12:00:00 AM","1","10","10"
"6/26/2026 12:00:00 AM","0","3","0"
"6/27/2026 12:00:00 AM","1","6","16.67"
"6/28/2026 12:00:00 AM","0","5","0"
"6/29/2026 12:00:00 AM","0","11","0"
"6/30/2026 12:00:00 AM","1","10","10"
"7/1/2026 12:00:00 AM","0","11","0"
"7/2/2026 12:00:00 AM","1","10","10"
"7/3/2026 12:00:00 AM","2","14","14.29"
"7/4/2026 12:00:00 AM","2","22","9.09"
"7/5/2026 12:00:00 AM","1","21","4.76"
"7/6/2026 12:00:00 AM","2","19","10.53"
"7/7/2026 12:00:00 AM","0","29","0"
"7/8/2026 12:00:00 AM","0","26","0"
"7/9/2026 12:00:00 AM","1","45","2.22"
"7/10/2026 12:00:00 AM","6","47","12.77"
"7/11/2026 12:00:00 AM","2","32","6.25"
"7/12/2026 12:00:00 AM","4","68","5.88"
"7/13/2026 12:00:00 AM","3","84","3.57"
"7/14/2026 12:00:00 AM","3","68","4.41"
"7/15/2026 12:00:00 AM","9","102","8.82"
"7/16/2026 12:00:00 AM","1","76","1.32"
